item,found,hint,image
Magic D20,false,,
Nancy comic,false,Go ask your dada if he has anything useful. He's working at the deli right now.,
Potato,false,Do you think maybe Ian has any ideas? He's at Daily. You can get there through the kudzu.,
Mahmoo Dahdoos,false,I wish mahmoo and dahdoo were here... they would probably know what to do.,
Sticky hand,false,"I think I see Mem and Maggie playing outside, they probably wanna help you out!",
Feather,false,"I bet Maggie's got a lot of weird stuff, maybe go ask her if you can borrow something?",
Willow,false,Why don't you go ask Joey and Melissa if you can borrow some of their art supplies?,
Mermin book,false,"Joey and Melissa have a lot of cool stuff at their house, and I'm sure they'd give you some.",
Chupa chups lollipop,false,"Your auntie Angie has loads of cool things, go ask her if she can share!",
Bucket of ice water,false,You know how we did a cold plunge yesterday? I think there's some water left in the tub!,
